| 5. Januar 2011|<a href="/Treffen/Termine/01_2011/">Januartreffen 2011</a>|Zum ersten Mal in den <a href="/Treffen/Treffpunkt//">neuen Vereinsräumen</a>!<br> Vortrag: <a href="/Angebote/Vortraege/IPv6_2011//">Internet Protocol v6</a> (Ingo Blechschmidt)|
|2010|
| 1. Dezember 2010|<a href="/Treffen/Termine/12_2010/">Dezembertreffen 2010</a>|
| 3. November 2010|<a href="/Treffen/Termine/11_2010/">Novembertreffen 2010</a>|
| 6. Oktober 2010|<a href="/Treffen/Termine/10_2010/">Oktobertreffen 2010</a>|
| 1. September 2010|<a href="/Treffen/Termine/09_2010/">Septembertreffen 2010</a>|
| 4. August 2010|<a href="/Treffen/Termine/08_2010/">Augusttreffen 2010</a>|
| 7. Juli 2010|<a href="/Treffen/Termine/07_2010/">Julitreffen 2010</a>|
| 2. Juni 2010|<a href="/Treffen/Termine/06_2010/">Junitreffen 2010</a>|
| 5. Mai 2010|<a href="/Treffen/Termine/05_2010/">Maitreffen 2010</a>|
| 7. April 2010|<a href="/Treffen/Termine/04_2010/">Apriltreffen 2010</a>|Vortrag: Free NX (Michael Roppel)|
| 3. März 2010|<a href="/Treffen/Termine/03_2010/">Märztreffen 2010</a>|Vortrag: <a href="/Angebote/Vortraege/qemu_kvm//">Virtualisierung mit QEMU/KVM</a> (Michael Hartmann) und Vorbesprechung Linux-Infotag|
| 3. Februar 2010|<a href="/Treffen/Termine/02_2010/">Februartreffen 2010</a>|
| 6. Januar 2010|<a href="/Treffen/Termine/01_2010/">Januartreffen 2010</a>|
|2009|
| 2. Dezember 2009|<a href="/Treffen/Termine/12_2009/">Dezembertreffen 2009</a>|Vortrag: Virtualisierung mit der Sun Virtual Box (Open Source Edition) (Michael Roppel) und Weihnachtsfeier|
| 4. November 2009|<a href="/Treffen/Termine/11_2009/">Novembertreffen 2009</a>|Vortrag: GIMP (Michael Roppel)|
| 7. Oktober 2009|<a href="/Treffen/Termine/10_2009/">Oktobertreffen 2009</a>|
| 2. September 2009|<a href="/Treffen/Termine/09_2009/">Septembertreffen 2009</a>|
| 5. August 2009|<a href="/Treffen/Termine/08_2009/">Augusttreffen 2009</a>|
| 1. Juli 2009|<a href="/Treffen/Termine/07_2009/">Julitreffen 2009</a>|Vortrag: zsh-Workshop I (Martin Röcker)|
| 3. Juni 2009|<a href="/Treffen/Termine/06_2009/">Junitreffen 2009</a>|Bericht vom 10. LUG-Camp|
| 6. Mai 2009|<a href="/Treffen/Termine/05_2009/">Maitreffen 2009</a>|
| 1. April 2009|<a href="/Treffen/Termine/04_2009/">Apriltreffen 2009</a>|
| 4. März 2009|<a href="/Treffen/Termine/03_2009/">Märztreffen 2009</a>|Vorbesprechung Linux-Infotag|
| 4. Februar 2009|<a href="/Treffen/Termine/02_2009/">Februartreffen 2009</a>|
| 7. Januar 2009|<a href="/Treffen/Termine/01_2009/">Januartreffen 2009</a>|
|2080|
| 3. Dezember 2008|<a href="/Treffen/Termine/12_2008/">Dezembertreffen 2008</a>|
| 5. November 2008|<a href="/Treffen/Termine/11_2008/">Novembertreffen 2008</a>|
| 1. Oktober 2008|<a href="/Treffen/Termine/10_2008/">Oktobertreffen 2008</a>|Vortrag:  <a href="/Angebote/Vortraege/25_Jahre_GNU//">25 Jahre Freie Software</a> (Michael Hartmann)|
