#Register der Vorträge;
#Neueste Vorträge bitte oben einfügen;
#datum YYYY-MM-DD|Titel|Referent|Dateiname
2010-03-27|ARM Mikrocontroller und der freie On-Chip Debugger OpenOCD|Hubert Högl|ARM_OCD_LIT_2010
2010-03-03|Virtualisierung mit QEMU/KVM|Michael Hartmann|qemu_kvm
2009-03-28|Video - Von der Kamera bis zur DVD|Rainer König|Video_LIT_2009
2009-03-28|Ubuntu im Alltag, Hilfe zur Selbsthilfe|Richard Albrecht|Ubuntu_LIT_2009
2009-03-28|Spielen unter Linux|Johannes Stein|Spielen_unter_Linux_LIT_2009
2009-03-28|Moodle und Mediawiki|Olaf Henne|Moodle_Mediawiki_LIT_2009
2009-03-28|METAPOST: mit LaTeX zeichnen|Carl Wenninger|METAPOST_LIT_2009
2009-03-28|Linux wird erwachsen (Keynote Linux-Infotag 2009)|Rainer König|Keynote_LIT_2009
2009-03-28|KDE 4.2 - Einblicke in die neue Version des populären freien Desktops|Thomas Thym|KDE42_LIT_2009
2009-03-28|GIMP|Michael Roppel|GIMP_LIT_2009
2008-10-01|25 Jahre GNU|Michael Hartmann|25_Jahre_GNU
2008-03-29|Virtualisierung|Benedikt Stefan Berner|Virtualisierung
2008-03-29|Sicher ist sicher: Backup und restore|Karl Deutsch|Keine_Panik
2008-03-29|Openstreetmap|Hanno Böck|Openstreetmap
2008-03-29|Mitmachen bei Wikipedia|Michael Brenner|Mitmachen_bei_Wikipedia
2008-03-29|Läuft meine Hardware unter Linux?|Rainer König|Hardware_und_Linux
2008-03-29|Linux in München|Florian Schießl|LiMux
2008-03-29|KDE 4|Cornelius Schumacher|KDE4
2008-03-29|Homebanking mit HBCI und Linux|Christian Pollak|HBCI
2008-03-29|Freie Software|Björn Schiessle|Freie_Software
2008-03-29|Bildungs- und Lernsoftware unter Linux|Erik Baerwaldt|Lern_Bildungssoftware
2007-07-04|Perl-Workshop III|Ingo Blechschmidt, Michael Hartmann|Perl_Workshop_III
2007-03-24|XGL und Compiz|Hanno Böck|XGL
2007-03-24|Text User Interfaces|Sven Guckes|TUI
2007-03-24|Mustersuche (Reguläre Ausdücke)|Sven Guckes|Mustersuche
2007-03-24|Linux in der Schule - seit 10 Jahren im Schuleinsatz: der Arktur-Server|Philipp Flesch|Arktur
2007-03-24|Kabellos ins Internet - WLAN machts möglich|Karsten Nordsiek|WLAN
2007-03-24|Freifunk|Martin Röcker, Manuel Munz|Freifunk
2007-03-24|Enlightenment DR17 Desktop Shell|Tobias Richter|Enlightenment
2007-03-24|Cross Platform - Leben in zwei Welten|Sebastian Stechl|Cross_Platform
2007-02-07|Perl-Workshop II|Ingo Blechschmidt, Michael Hartmann|Perl_Workshop_II
2007-01-03|Perl-Workshop I|Ingo Blechschmidt, Michael Hartmann|Perl_Workshop_I
2006-12-06|Komprimierung|Ingo Blechschmidt, Michael Hartmann|Komprimierung
2006-10-04|Steganographie|Ingo Blechschmidt, Michael Hartmann|Steganographie
2006-03-25|iSCSI unter Linux - das SAN für zuhause|Frank Berger|iSCSI
2006-03-25|Thin Clients|Michael Hartmann|Thin_Clients
2006-03-25|Perl 6, genau jetzt (LIT 2006-Version)|Ingo Blechschmidt|Perl6_LIT_2006
2006-03-25|Hacken mit Linux|Benedikt 'Hunz' Heinz|Hacken_mit_Linux
2006-02-01|Versionsverwaltung mit SVK|Ingo Blechschmidt|SVK
2006-02-01|Debian-Pakete im Eigenbau|Michael Hartmann|DPKG
2006-01-25|qemu in der Praxis|Michael Hartmann|qemu
2006-01-25|Das File Transfer Protocol (FTP)|Ingo Blechschmidt|FTP
2006-01-25|Das Dynamic Host Configuration Protocol (DHCP)|Ingo Blechschmidt|DHCP
2005-11-02|"Wie man das Internet abschaltet" oder ARP-Spoofing|Ingo Blechschmidt|ARP_Spoofing
2005-09-07|Terminals, uxterm und screen|Ingo Blechschmidt|Terminals
2005-08-03|Anatomie eines Compilers am Beispiel von Pugs|Ingo Blechschmidt|Pugs
2005-07-06|VPNs mit OpenVPN|Michael Hartmann|OpenVPN
2005-07-06|Hypertext Transfer Protocol|Ingo Blechschmidt|HTTP
2005-06-08|Verbindung zwischen Computern hinter NAT-Gateways ohne vermittelnden Server|Ingo Blechschmidt|NAT_UDP
2005-06-08|Port-Knocking|Ingo Blechschmidt|Port_Knocking
2005-05-04|Perl 6, genau jetzt!|Ingo Blechschmidt|Perl6
2005-04-09|Professionelles Migrationsmanagement von Microsoft Office nach OpenOffice.org|Georg Westbeld|Migrationsmanagement
2005-04-09|Mandatory Access Control durch SELinux|Harald Görl|MAC_SELinux
2005-04-09|Linux-Lösungen für Linux-Anwender|Tom Schwaller|Linux_Loesungen
2005-04-09|Linux-Einstieg|Thomas Kisler|Linux_Einstieg
2005-04-09|Linux contra Windows|Heinz Ettel|Linux_contra_Windows
2005-04-09|KDE im Kioskmodus|Michael Hartmann|KDE_Kiosk
2005-04-06|Schnelle Backups mit verschlüsseltem Dateisystem und rsync|Michael Roppel|rsync_backup
2005-02-02|Internet Protocol v6|Ingo Blechschmidt|IPv6
2005-01-05|DNS und Sicherheit|Ingo Blechschmidt|DNS
2004-12-01|SMTP, Spam und IM2000|Ingo Blechschmidt|SMTP_Spam_IM2000
2004-03-27|Linux und USB|Stefan Warmuth|Linux_USB
2004-03-27|Installation von Red Hat Fedora Core Linux|Alexander Troppmann und Reinhard Holler|Fedora_Core_Inst
2003-03-22|fli4l - Internetanbindung einfach und sicher|Thomas Ernst|fli4l
2003-03-22|LaTeX im Alltagsgebrauch|Peter Gebhard|LaTeX_im_Alltag
2002-10-02|Gentoo Linux|Christian Wazulek|Gentoo
2002-03-09|Zope - Ein Webapplikationsserver|Jörg Lehmann|Zope
2001-03-07|Linux - Firewalling|Stefan Armbruster|Linux_Firewall
2001-02-07|Reguläre Ausdrücke|Reinald Cronauer|Regulaere_Ausdruecke
2000-10-04|ISDN4Linux|Klaus Jahn|ISDN4Linux
2000-03-22|Trafficshaping|Andreas Hoffmann|Trafficshaping
1999-11-03|CVS - Ein System zur Versionsverwaltung|Jörg Lehmann|CVS
1999-05-05|Konfiguration eines festplattenlosen Linux-Rechners mit SuSE 6.1|Jakob Flierl|diskless_suse
1998-05-06|Apache - eine kurze Einführung|Jörg Lehmann, Alexander Rahmeier|Apache
